bottle,position,leaf,cup.mass,vol,mass
1,top,1,6.0538,24.5,30.5538
1,top,2,6.0538,23,29.0538
1,top,3,6.0538,24.75,30.8038
2,top,1,6.0538,40,46.0538
2,top,2,12.2012,16,28.2012
2,top,3,12.2012,10,22.2012
3,top,1,12.2012,60.762,72.9632
3,top,2,12.2012,43.75,55.9512
3,top,3,12.2012,23.75,35.9512
4,top,1,12.2012,58.2844,70.4856
4,top,2,12.2012,13,25.2012
4,top,3,12.2012,26,38.2012
5,top,1,12.2012,7.3,19.5012
5,top,2,12.2012,42.5,54.7012
5,top,3,12.2012,4,16.2012
6,top,1,12.2012,34,46.2012
6,top,2,12.2012,56.7844,68.9856
6,top,3,12.2012,7.2,19.4012
7,top,1,12.2012,9.6,21.8012
7,top,2,12.2012,38,50.2012
7,top,3,12.2012,3.8,16.0012
8,top,1,12.2012,34.5,46.7012
8,top,2,12.2012,52.5,64.7012
8,top,3,12.2012,11.5,23.7012
9,top,1,12.2012,38,50.2012
9,top,2,12.2012,14,26.2012
9,top,3,12.2012,18.5,30.7012
10,top,1,12.2012,48,60.2012
10,top,2,12.2012,5.4,17.6012
10,top,3,12.2012,13.5,25.7012
1,sed,1,12.2012,15,27.2012
1,sed,2,12.2012,18,30.2012
1,sed,3,12.2012,38,50.2012
2,sed,1,12.2012,4.6,16.8012
2,sed,2,12.2012,4.4,16.6012
2,sed,3,12.2012,21,33.2012
3,sed,1,12.2012,3,15.2012
3,sed,2,12.2012,14,26.2012
3,sed,3,12.2012,15,27.2012
4,sed,1,12.2012,8.6,20.8012
4,sed,2,12.2012,5.8,18.0012
4,sed,3,12.2012,5.6,17.8012
5,sed,1,12.2012,16.5,28.7012
5,sed,2,12.2012,5.2,17.4012
5,sed,3,12.2012,4,16.2012
6,sed,1,12.2012,13.5,25.7012
6,sed,2,12.2012,2.2,14.4012
6,sed,3,12.2012,2,14.2012
7,sed,1,12.2012,34.5,46.7012
7,sed,2,12.2012,10.5,22.7012
7,sed,3,12.2012,10,22.2012
8,sed,1,12.2012,6.2,18.4012
8,sed,2,12.2012,11,23.2012
8,sed,3,12.2012,0,12.2012
9,sed,1,12.2012,1,13.2012
9,sed,2,12.2012,0,12.2012
9,sed,3,12.2012,2.8,15.0012
10,sed,1,12.2012,0,12.2012
10,sed,2,12.2012,5.4,17.6012
10,sed,3,12.2012,9.7,21.9012
